official_name_of_satellite,operator_owner,country_of_operator_owner,users,purpose,class_of_orbit,type_of_orbit,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime_years,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number
Tianhui 1-03,China Aerospace Science and Technology Corporation (CASTC),China,Government,Earth Observation,LEO,Sun-Synchronous,489,500,0.000801,97.36,94.5,2500,980,1500,10/26/2015,10,DFH Satellite Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-061A,40988
Tiantuo-2,National University of Defense Technology,China,Government,Earth Observation/Communications,LEO,Sun-Synchronous,477,493,0.00117,97.42,94.31,67,980,1500,9/8/2014,10,National University of Defense Technology,China,Taiyuan Launch Center,Long March 4B,2014-053B,40144
Tiantuo-3,National University of Defense Technology,China,Government,Technology Development,LEO,Sun-Synchronous,392,522,0.00952,97.42,93.73,20,980,1500,9/19/2015,10,National University of Defense Technology,China,Taiyuan Launch Center,Long March 6,2015-049A,40899
TW-1A,Shanghai Engineering Center for Microsatellites,China,Civil,Technology Development,LEO,Sun-Synchronous,466,484,0.00131,97.31,94.1,3,980,1500,9/24/2015,10,Nanjing University of Aeronautics and Astronautics/Shanghai Engineering Center for Microsatellites,China,Jiuquan Satellite Launch Center,Long March 11,2015-051D,40928
TW-1B,Nanjing University of Aeronautics and Astronautics,China,Civil,Technology Development,LEO,Sun-Synchronous,466,485,0.00139,97.32,94.1,3,980,1500,9/24/2015,10,Nanjing University of Aeronautics and Astronautics/Shanghai Engineering Center for Microsatellites,China,Jiuquan Satellite Launch Center,Long March 11,2015-051C,40927
TW-1C,Nanjing University of Aeronautics and Astronautics,China,Civil,Technology Development,LEO,Sun-Synchronous,466,486,0.00146,97.31,94.12,5,980,1500,9/24/2015,10,Nanjing University of Aeronautics and Astronautics/Shanghai Engineering Center for Microsatellites,China,Jiuquan Satellite Launch Center,Long March 11,2015-051B,40926
TIGRISat,La Sapienza University of Rome,Iraq,Civil,Earth Observation,LEO,Sun-Synchronous,611,698,0.00619,97.98,97.82,1,980,1500,6/19/2014,10,La Sapienza University of Rome,Italy,Dombarovsky Air Base,Dnepr,2014-033AK,40043
TISat-1,Scuola Universitaria Professionale della Svizzera Italiana - Dipartimento Tecnologie Innovative,Switzerland,Civil,Technology Development,LEO,Sun-Synchronous,611,631,0.00143,98,97.1,1,980,1500,7/12/2010,10,Scuola Universitaria Professionale della Svizzera Italiana - Dipartimento Tecnologie Innovative,Switzerland,Satish Dhawan Space Center,PSLV,2010-035E,36799
Cosmos 2428,Ministry of Defense,Russia,Military,Earth Observation,LEO,Polar,844,858,0.000969,71,102,3200,980,1500,6/29/2007,10,KB Yuznoye,Ukraine,Baikonur Cosmodrome,Zenit 2M,2007-029A,31792
TSUBAME,"Tokyo Institute of Technology, Tokyo University of Science and JAXA",Japan,Civil,Earth Observation,LEO,Sun-Synchronous,505,569,0.00463,97.47,95.38,49,980,1500,11/6/2014,10,"Tokyo Institute of Technology, Tokyo University of Science and JAXA",Japan,Dombarovsky Air Base,Dnepr,2014-070E,40302
Ukube-1,UK Space Agency,United Kingdom,Government,Technology Development,LEO,Sun-Synchronous,626,631,0.000357,98.4,97.27,3,980,1500,7/8/2014,10,Clyde Space,United Kingdom,Baikonur Cosmodrome,Soyuz-2.1b,2014-037F,40074
UWE-3,University of Würzburg,Germany,Civil,Communications,LEO,Sun-Synchronous,593,700,0.00762,97.8,97.6,1,980,1500,11/21/2013,10,University of Würzburg,Germany,Dombarovsky Air Base,Dnepr,2013-066AG,39446
Velox 1,Nanyang Technological University,Singapore,Civil,Technology Development,LEO,Sun-Synchronous,642,655,0.000926,98.25,97.7,4,980,1500,6/30/2014,10,Nanyang Technological University,Singapore,Satish Dhawan Space Center,PSLV-CA,2014-034E,40057
Velox 2,Nanyang Technological University,Singapore,Civil,Technology Development,LEO,Equatorial,537,550,0.00094,14.98,95.48,13,980,1500,12/16/2015,10,Nanyang Technological University,Singapore,Satish Dhawan Space Center,PSLV-C29,2015-077F,41171
Velox C1,Nanyang Technological University,Singapore,Civil,Technology Development,LEO,Equatorial,533,550,0.00123,14.98,95.48,123,980,1500,12/16/2015,10,Nanyang Technological University,Singapore,Satish Dhawan Space Center,PSLV-C29,2015-077A,41166
Vesselsat-1,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,847,867,0.00138,20,102.1,29,980,1500,10/12/2011,10,LuxSpace Sarl,Luxembourg,Satish Dhawan Space Center,PSLV,2011-058C,37840
Vesselsat-2,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Sun-Synchronous,479,490,0.000802,97.5,94.3,29,980,1500,1/9/2012,10,LuxSpace Sarl,Luxembourg,Taiyuan Launch Center,Long March 4B,2012-001B,38047
Worldview 2,DigitalGlobe Corporation,USA,Commercial,Earth Observation,LEO,Sun-Synchronous,765,767,0.00014,98.5,100.2,2800,980,1500,10/8/2009,10,Ball Aerospace,USA,Vandenberg AFB,Delta 2,2009-055A,35946
Wren,StaKoDo UG,Germany,Commercial,Technology Development,LEO,Sun-Synchronous,593,640,0.00336,97.8,97.3,3,980,1500,11/21/2013,10,StaKoDo UG,Germany,Dombarovsky Air Base,Dnepr,2013-066V,39435
USA 261,US Air Force,USA,Military,Technology Development,LEO,Non-Polar Inclined,309,322,0.00119,38,90.83,4990,980,1500,5/20/2015,10,Boeing,USA,Cape Canaveral,Atlas 5,2015-025A,40651
XC-1,National University of Defense Technology,China,Government,Technology Development,LEO,Sun-Synchronous,520,540,0.00119,97.46,95.23,1,980,1500,9/19/2015,10,National University of Defense Technology,China,Taiyuan Launch Center,Long March 6,2015-049V,40918
XC-2,National University of Defense Technology,China,Government,Technology Development,LEO,Sun-Synchronous,520,540,0.00119,97.46,95.23,1,980,1500,9/19/2015,10,National University of Defense Technology,China,Taiyuan Launch Center,Long March 6,2015-049S,40915
XC-3,National University of Defense Technology,China,Government,Technology Development,LEO,Sun-Synchronous,520,540,0.00119,97.46,95.23,1,980,1500,9/19/2015,10,National University of Defense Technology,China,Taiyuan Launch Center,Long March 6,2015-049T,40916
XC-4,National University of Defense Technology,China,Government,Technology Development,LEO,Sun-Synchronous,520,540,0.00119,97.46,95.23,1,980,1500,9/19/2015,10,National University of Defense Technology,China,Taiyuan Launch Center,Long March 6,2015-049U,40917
XW-1,DFH Satellite/AMSAT-China,China,Civil,Communications,LEO,Sun-Synchronous,1193,1205,0.000793,100.3,109.4,60,980,1500,12/15/2009,10,DFH Satellite,China,Taiyuan Launch Center,Long March 4C,2009-072B,36122
XW-2A,Chinese Amateur Satellite (CAMSAT),China,Civil,Communications,LEO,Sun-Synchronous,518,535,0.00123,97.46,95.17,25,980,1500,9/19/2015,10,DFH Satellite/CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049E,40903
XW-2B,Chinese Amateur Satellite (CAMSAT),China,Civil,Communications,LEO,Sun-Synchronous,520,539,0.00138,97.46,95.22,10,980,1500,9/19/2015,10,DFH Satellite/CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049N,40911
XW-2C,Chinese Amateur Satellite (CAMSAT),China,Civil,Communications,LEO,Sun-Synchronous,519,538,0.00138,97.46,95.21,10,980,1500,9/19/2015,10,DFH Satellite/CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049H,40906
XW-2D,Chinese Amateur Satellite (CAMSAT),China,Civil,Communications,LEO,Sun-Synchronous,520,539,0.00138,97.46,95.22,10,980,1500,9/19/2015,10,DFH Satellite/CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049J,40907
XW-2E,Chinese Amateur Satellite (CAMSAT),China,Civil,Communications,LEO,Sun-Synchronous,519,538,0.00138,97.46,95.2,2,980,1500,9/19/2015,10,DFH Satellite/CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049L,40909
XW-2F,Chinese Amateur Satellite (CAMSAT),China,Civil,Communications,LEO,Sun-Synchronous,520,540,0.00145,97.46,95.23,2,980,1500,9/19/2015,10,DFH Satellite/CAMSAT,China,Taiyuan Launch Center,Long March 6,2015-049M,40910
Yaogan 15,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Polar,1201,1207,0.000396,100.2,109.5,1040,980,1500,5/29/2012,10,Shanghai Academy of Satellite Technology (SAST),China,Taiyuan Launch Center,Long March 4C,2012-029A,38354
Yaogan 28,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Sun-Synchronous,460,482,0.00161,97.24,94.02,1040,980,1500,11/8/2015,10,CAST/Changchun Light Technology Institute,China,Taiyuan Launch Center,Long March 4B,2015-064A,41026
Yaogan 29,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Sun-Synchronous,628,629,0.0000714,97.85,97.28,1040,980,1500,11/26/2015,10,CAST/Changchun Light Technology Institute,China,Taiyuan Launch Center,Long March 4C,2015-069A,41038
Yaogan 30,People's Liberation Army (C41),China,Military,Earth Observation,LEO,Sun-Synchronous,628,656,0.002,98.07,97.57,2700,980,1500,5/15/2016,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2016-029A,41473
Yaogan 4,People's Liberation Army (C41),China,Government,Earth Observation,LEO,Sun-Synchronous,635,658,0.00164,97.8,97.7,2700,980,1500,12/1/2008,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2008-061A,33446
Yaogan 6,People's Liberation Army (C41),China,Government,Earth Observation,LEO,Sun-Synchronous,511,512,0.0000727,97.3,94.9,1800,980,1500,4/22/2009,10,Shanghai Academy of Satellite Technology (SAST),China,Taiyuan Launch Center,Long March 2C,2009-021A,34839
Yaogan 7,People's Liberation Army (C41),China,Government,Earth Observation,LEO,Sun-Synchronous,628,665,0.00264,98,97.7,2700,980,1500,12/9/2009,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2009-069A,36110
Yubileiny,Research Laboratory of Aerospace Technology (NILAKT ROSTO),Russia,Civil,Technology Development,LEO,Polar,1479,1508,0.00184,82.5,115.8,45,980,1500,5/23/2008,10,OAO ISS,Russia,Plesetsk Cosmodrome,Rokot,2008-025A,32953
ZACube-1,Cape Peninsula University of Technology,South Africa,Civil,Technology Development,LEO,Sun-Synchronous,594,683,0.00635,97.8,94.4,1,980,1500,11/21/2013,10,Cape Peninsula University of Technology (CPUT),South Africa,Dombarovsky Air Base,Dnepr,2013-066B,39417
ZP-1B,Zhejiang University,China,Civil,Space Science,LEO,Sun-Synchronous,619,653,0.00243,97.9,97.4,4,980,1500,9/22/2010,10,Zhejiang University,China,Jiuquan Satellite Launch Center,Long March 2D,2010-047B,37166
ZP-1C,Zhejiang University,China,Civil,Space Science,LEO,Sun-Synchronous,620,653,0.00235,97.9,97.5,4,980,1500,9/22/2010,10,Zhejiang University,China,Jiuquan Satellite Launch Center,Long March 2D,2010-047C,37167
ZP-2A,Zhejiang University,China,Civil,Technology Development,LEO,Sun-Synchronous,517,534,0.00123,97.46,95.15,12,980,1500,9/19/2015,10,Zhejiang University,China,Taiyuan Launch Center,Long March 6,2015-049C,40901
ZP-2B,Zhejiang University,China,Civil,Technology Development,LEO,Sun-Synchronous,517,535,0.00131,97.45,95.16,12,980,1500,9/19/2015,10,Zhejiang University,China,Taiyuan Launch Center,Long March 6,2015-049D,40902
Zijing 1,Tsinghua University,China,Civil,Technology Development,LEO,Sun-Synchronous,520,540,0.00145,97.46,95.23,1,980,1500,9/19/2015,10,Tsinghua University,China,Taiyuan Launch Center,Long March 6,2015-049W,40919
Ziyuan 1-02C,China Centre for Resources Satellite Data and Application (CRESDA),China,Government,Earth Observation,LEO,Sun-Synchronous,763,773,0.0007,98.56,100.2,1500,980,1500,12/22/2011,10,China Academy of Space Technology (CAST),China,Taiyuan Launch Center,Long March 4B,2011-079A,38038
Aerocube 5A,Aerospace Corporation,USA,Commercial,Technology Development,LEO,Polar,443,886,0.0315,120.3,98,5,980,1500,12/6/2013,2,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2013-072D,39465
Aerocube 5B,Aerospace Corporation,USA,Commercial,Technology Development,LEO,Polar,443,886,0.0315,120.3,98,5,980,1500,12/6/2013,2,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2013-072E,39466
Aerocube 6A,Aerospace Corporation,USA,Commercial,Technology Development,LEO,Sun-Synchronous,614,700,0.00612,97.98,97.88,5,980,1500,6/19/2014,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AM,40045
Aerocube 6B,Aerospace Corporation,USA,Commercial,Technology Development,LEO,Sun-Synchronous,614,700,0.00612,97.98,97.88,5,980,1500,6/19/2014,3,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,2014-033AN,40046
AISSat-1,Norwegian Coastal Admnistration,Norway,Government,Communications,LEO,Sun-Synchronous,615,632,0.00122,98,97.2,6,980,1500,7/12/2010,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Center,PSLV,2010-035C,36797
AISSat-2,Norwegian Coastal Admnistration,Norway,Government,Communications,LEO,Sun-Synchronous,625,631,0.000429,98.4,97.27,6,980,1500,7/8/2014,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b,2014-037G,40075
AIST-2,"Samara State Aerospace University, SGAU",Russia,Civil,Technology Development,LEO,Non-Polar Inclined,558,582,0.00173,64.88,96.06,53,980,1500,4/19/2013,3,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2.1a,2013-015D,39133
Astrosat,Telemetry Tracking and Command Network (ISTRAC) Centre,India,Government,Space Science,LEO,Equatorial,632,649,0.00121,5.99,97.54,230,980,1500,9/28/2015,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C-30,2015-052A,40930
Aurora,Sputnix Ltd.,Russia,Commercial,Technology Development,LEO,Sun-Synchronous,583,618,0.00251,97.99,96.7,25,980,1500,6/19/2014,1,Sputnix Ltd.,Russia,Dombarovsky Air Base,Dnepr,2014-033H,40017
BeeSat-1,Institut für Luft- und Raumfahrt,Germany,Civil,Technology Development,LEO,Sun-Synchronous,709,718,0.000635,98.3,99,1,980,1500,9/23/2009,1,Technische Universität Berlin,Germany,Satish Dhawan Space Center,PSLV,2009-051C,35933
BeeSat-2,Institut für Luft- und Raumfahrt,Germany,Civil,Technology Development,LEO,Non-Polar Inclined,555,579,0.00173,64.8,96.01,1,980,1500,4/19/2013,1,Technische Universität Berlin,Germany,Baikonur Cosmodrome,Soyuz 2.1a,2013-015G,39136
BeeSat-3,Institut für Luft- und Raumfahrt,Germany,Civil,Technology Development,LEO,Non-Polar Inclined,554,581,0.00195,64.8,96.01,1,980,1500,4/19/2013,1,Technische Universität Berlin,Germany,Baikonur Cosmodrome,Soyuz 2.1a,2013-015E,39134
Beidou 2-12,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,MEO,Non-Polar Inclined,21460,21595,0.00242,55.16,773.19,2200,980,1500,4/28/2012,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-018A,38250
Beidou 2-13,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,MEO,Non-Polar Inclined,21452,21603,0.00271,55.1,773.21,2200,980,1500,4/28/2012,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-018B,38251
Beidou 2-14,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,MEO,Non-Polar Inclined,21462,21591,0.00231,55,773.1,3800,980,1500,9/18/2012,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-050A,38774
Beidou 2-15,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,MEO,Non-Polar Inclined,21477,21574,0.00174,55,773.1,3800,980,1500,9/18/2012,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2012-050B,38775
Beidou 3M-1S,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,MEO,Non-Polar Inclined,21520,21549,0.00052,55,773.2,800,980,1500,7/25/2015,5,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2015-037A,40748
Beidou 3M-2S,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,MEO,Non-Polar Inclined,21521,21550,0.00052,55,773.3,800,980,1500,7/25/2015,5,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,2015-037B,40749
Beidou 3M-3S,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,MEO,Non-Polar Inclined,21524,21532,0.000143,55,773.2,800,980,1500,2/1/2016,5,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,2016-006A,41315
Beidou M1,Chinese Defense Ministry,China,Military/Government,Navigation/Global Positioning,MEO,Non-Polar Inclined,21519,21545,0.000466,55.26,773.39,2200,980,1500,4/14/2007,8,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3A,2007-011A,31115
BRITE-PL-1,BRITE Consortium,Multinational,Government,Space Science,LEO,Sun-Synchronous,594,886,0.0205,97.7,99.6,10,980,1500,11/21/2013,2,"Space Research Center, Polish Academy of Sciences",Poland,Dombarovsky Air Base,Dnepr,2013-066R,39431
BRITE-PL-2,BRITE Consortium,Multinational,Government,Space Science,LEO,Sun-Synchronous,610,633,0.00164,98.02,97.1,10,980,1500,8/19/2014,2,"Space Research Center, Polish Academy of Sciences",Poland,Taiyuan Launch Center,CZ-4B,2014-049B,40119
CSSWE,University of Colorado,USA,Civil,Earth Science,LEO,Non-Polar Inclined,479,791,0.0223,64.6,97.4,3,980,1500,9/13/2012,1,University of Colorado,USA,Vandenberg AFB,Atlas 5,2012-048D,38761
DAMPE,Chinese Academy of Science,China,Government,Space Science,LEO,Sun-Synchronous,488,505,0.00124,97.3,94.54,1850,980,1500,12/17/2015,3,Chinese Academy of Science,China,Jiuquan Satellite Launch Center,Long March 2D,2015-078A,41173
Firebird-A,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",USA,Government/Civil,Space Science,LEO,Polar,443,886,0.0315,120.3,98,2,980,1500,12/6/2013,3,Montana State University,USA,Vandenberg AFB,Atlas 5,2013-072B,39463
Firebird-B,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",USA,Government/Civil,Space Science,LEO,Polar,443,886,0.0315,120.3,98,2,980,1500,12/6/2013,3,Montana State University,USA,Vandenberg AFB,Atlas 5,2013-072C,39464
Firebird-C,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",USA,Government/Civil,Space Science,LEO,Elliptical,437,667,0.0166,99.1,95.7,2,980,1500,1/31/2015,0.25,Montana State University,USA,Vandenberg AFB,Delta 2,2015-003B,40377
Firebird-D,"Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)",USA,Government/Civil,Space Science,LEO,Elliptical,444,675,0.0167,99.1,97.7,2,980,1500,1/31/2015,0.25,Montana State University,USA,Vandenberg AFB,Delta 2,2015-003C,40378
Firefly,NASA/Sienna College/Univ. of Maryland,USA,Government/Civil,Earth Science,LEO,Non-Polar Inclined,437,449,0.000881,40.5,94.68,3,980,1500,11/19/2013,1,National Science Foundation,USA,Wallops Island Flight Facility,Minotaur 1,2013-064R,39395
Fox-1A,Amsat-NA,USA,Civil,Communications/Technology Development,LEO,Non-Polar Inclined,496,802,0.0218,64.78,97.7,1,980,1500,10/8/2015,11,AMSAT/Penn State University/Vanderbilt University/Virginia Tech,USA,Cape Canaveral,Atlas 5,2015-058D,40967
Galileo FOC FM10,European Space Agency,ESA,Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,23272,23280,0.000135,57.4,847.01,723,980,1500,5/24/2016,12,"OHB-System GmbH, SSTL",Germany/UK,Guiana Space Center,Soyuz-ST,2016-030A,41549
Galileo FOC FM11,European Space Agency,ESA,Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,23483,23530,0.000787,57.4,856.9,723,980,1500,5/24/2016,12,"OHB-System GmbH, SSTL",Germany/UK,Guiana Space Center,Soyuz-ST,2016-030B,41550
Galileo FOC FM3,European Space Agency,ESA,Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,23516,23574,0.000969,55,858.55,723,980,1500,3/27/2015,12,"OHB-System GmbH, SSTL",Germany/UK,Guiana Space Center,Soyuz-ST,2015-017A,40544
Galileo FOC FM4,European Space Agency,ESA,Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,23353,23382,0.000488,55.1,850.5,723,980,1500,3/27/2015,12,"OHB-System GmbH, SSTL",Germany/UK,Guiana Space Center,Soyuz-ST,2015-017B,40545
